Year,Camp,Topography,Amptri,Aptpro,Aricon,Aridif,Aspafr,Aspsua,BarGro,Berang,Blecap,Blemit,Bulhum,Cheeck,Chegla,Chlvir,Chrcil,Cinspp,Conbon,Concan,Cympos,Cyndac,Cyninc,Cypcap,Digeri,Dimcun,Dimzey,Dioaus,Enndes,Ennsco,Epheph,Erabic,Eracon,Eracur,Eraleh,Eraobt,Erieri,Erispi,Erispp,Euspas,Felfas,Felfil,Felmur,Forspp,Galpro,Gazjur,Geifil,Gnipol,Gnispp,Heldre,Helluc,Helpen,Helrut,Helzey,Hercoc,Hercun,Herdes,Herfil,Herlin,Hermul,Herpal,Herpul,Hetcon,Hyphir,Indalt,Indden,Indnig,Jamatr,Jamfil,Juscun,Klelon,Lepafr,Limaet,Lyccin,Melcan,Meldec,Melmic,Mestub,Morpal,Morpol,Nencin,Nenmic,Orocap,Ostarm,Ostlep,Oxadep,Pegret,Pelram,Penglo,Peninc,Penpin,Penpun,Pensph,Penspi,Phypar,Plikar,Psicor,Ptegla,Ptesor,Ptetri,Roshum,Rusgri,Rusint,Salcal,Salkal,Salste,Sarsal,Seaero,Selgen,Selsax,Senbur,Senrad,Spofim,Staaur,Starug,Tetdre,Thehys,Thetri,Trakoe,Trarac,Triagh,Tripom,Trisin,Wahalb,Wahten,Zyginc,Zygmic
2007,1A,Plains,,,,,,,24,,,,,,,,,,,,,,0.5,7,38.25,,,,,,,,0.75,0.5,,0.25,0.25,,,,,,0.25,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,2.25,0.5,,,,,0.75,,,,,,0.75,,,0.5,,,,,,,,,3,,,0.75,,14,0.25,,,0.5,2,,,,
2007,1B,Plains,,,,2.25,,,13.25,,,,,,,,,,,,,,2,1.25,24.25,,,,,,,0.25,4.5,0.25,,0.25,0.25,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25,,,,,,0.25,,,,,,,,,4,3.75,,,,,0.25,,,,,,0.25,,,,,,,,,,,,,1.25,,4,,27.25,,,,0.5,4,,,,
2007,2A,Plains,,,,,,,16.75,,,,,,0.5,,,,,,,,17.75,,29.5,,,,,,,,0.5,,0.75,0.75,0.5,1,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,0.5,,,,8.75,0.25,0.5,,,,0.75,,,0.25,,,1,,,2.25,1,,,,0.25,,,,11,0.25,,,,,,,,,1,,,0.25,
2007,2B,Plains,,,,2.925531915,,,28.19148936,,,,,,0.79787234,,0.79787234,,,,,,4.787234043,6.382978723,20.4787234,,0.531914894,,,,,0.531914894,,,0.265957447,0.531914894,5.319148936,0.531914894,,,,,2.659574468,,0.265957447,,,,,,,,,0.265957447,,,,,,,,,,,,,,,,,,,,2.393617021,,,,0.265957447,,,0.265957447,,,,,,,,10.90425532,,,,,,,,,,,,0.265957447,,1.861702128,,0.79787234,,,,,,,,6.382978723,,,,,0.265957447,,,,1.063829787,,,0.265957447,,
2007,3A,Plains,1.5,,,5.25,,,18.5,,,,,,,,,,,,,,,16,10.5,,,,,,,0.75,8.75,0.5,1,2.25,4,,,,0.25,,4,,1.25,,,,,0.25,,,,,,,,,,,,,0.5,,,,,,,,,,,0.75,,,,,,0.25,,,,,,,,,3.25,2.25,,,,,1.5,,,,,0.5,1.5,,0.75,,,,,,,,,,0.5,,,2.75,1,7.5,0.75,,,0.75,0.75,,,,
2007,3B,Plains,0.25,,,,,,20.5,,,,,,0.25,0.25,,,,,,,2.75,18.5,19.5,,,,,,,0.75,2,0.75,,0.25,,,,,,,2.5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,1,,,,,,,,,11.25,5.25,,,,,,,,,,1.5,1.5,,,2,,,,,1.25,,,,1.75,,,,,1.75,,,,,2,,,,
2007,4A,Plains,,,0.25,0.75,,,34.5,,,,,,,,,,,,1.5,,5,,5.75,,,,,,,,2.75,0.25,7.75,0.75,8,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25,,,,,,,,,,,,,,,2,,,,,,,,,1.25,,,,,,0.75,,,,,,,,,10.5,,,,,6,1.75,,,,,,0.75,7,
2007,4B,Plains,0.25,,,1.25,0.25,,45.25,,,,,,0.75,,,,,,,,8.5,,10.5,,3.75,,,,,,2.25,,1,,7.75,0.25,,,,,0.75,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1.25,0.25,0.25,,,,2,,,0.25,0.5,,0.25,,,0.5,0.25,,,,0.25,,,,8.5,,,,0.25,0.5,1.25,,,,,,,,
2007,5A,Hill,,,0.25,5.5,,,35.5,,,,,,,,0.25,,,,6.25,,,,4.75,,,,,1,,,12.75,1.5,5.5,,10.5,,,,,,4.25,,,,,,,1.75,,,,0.75,,,,,,,,,1.75,1,,,,,0.25,,,,,,,,0.25,,,,,,,,0.25,,,,0.25,0.25,,,,,,,,,,,,,,,,,,,,0.75,,,1,,,,,,3.75,,,,,,,,
2007,6A,Hill,,,,4.666666667,,,22.16666667,,,,,0.5,,,,0.333333333,,,0.5,,,,8.166666667,,,,,0.666666667,,1.166666667,8,0.833333333,3.5,,11.5,,,,,,1,,,,,,,1.166666667,,,,,,,,0.5,,,,0.666666667,3.333333333,,,,,,0.5,,,,,0.333333333,,,0.666666667,,0.166666667,,,,,,,,,,,0.166666667,0.166666667,,2.333333333,,,,,,0.5,,0.333333333,,,,,,,,,3,,,0.833333333,3.166666667,,,,14,2.166666667,,,0.166666667,2.666666667,0.166666667,,,
2007,6B,Hill,0.333333333,,0.166666667,5.666666667,,,30.5,,,,0.833333333,,,0.166666667,,,,,4,,,5.166666667,12.66666667,,,,,0.166666667,,0.333333333,11.16666667,,,0.166666667,3.5,0.166666667,,,0.166666667,,0.666666667,0.5,,,,,,0.833333333,,0.166666667,,0.166666667,,,,0.666666667,,,,,1.333333333,,0.166666667,,,,0.833333333,,,,0.833333333,0.166666667,,,,,0.166666667,,,0.166666667,,,0.5,,,,0.666666667,0.166666667,,,,,0.833333333,,,,1,,0.166666667,,4.666666667,,,,,,,1.666666667,,0.833333333,1,0.166666667,,0.166666667,,4.833333333,1,,,0.5,,,,,
2008,1A,Plains,,,,,,,11,,,,,,,,,,,,,,0.75,,37.25,,,,,,,,4.25,0.75,0.5,0.25,0.5,,,,,,,0.25,0.25,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,1,,,,,,,,,,,1.75,1,,,,,1,,,0.5,1.75,,0.75,,0.25,0.25,,,,,1.25,,,,6,,,1.25,0.25,20.75,1,,,,,,,,
