AnnGrass,PerGrass,Forbes,RockStone
0,0,90,0
3,0,60,1
50,3,20,1
60,0,15,1
0,10,0,1
20,15,20,0
60,8,10,20
15,10,25,27
1,4,5,80
20,5,55,0
15,3,50,0
2,0,70,6
15,0,65,5
10,5,5,0
30,3,30,1
15,0,45,10
30,5,15,25
1,0,80,20
12,3,20,20
12,3,50,1
9,0,12,30
4,4,75,2
5,4,15,1
0,0,30,0
4,2,75,1
8,2,20,67
2,0,15,0
35,0,8,60
20,6,1,60
7,3,25,65
0,2,25,0
30,10,5,0
25,8,6,12
0,0,80,30
25,3,6,1
10,15,0,65
10,10,4,55
0,0,85,2
2,4,50,27
8,0,15,22
7,2,35,25
10,2,50,30
20,0,75,0
