Town,SB%Transformed,PropTar(3,Latitude,Longitude,Altitude,Rainfall,MaxSummer,MaxWinter,MinSummer,MinWinter,EvapVal,Aridity,SoilGroup,SAGeol,VegMapBiome
Aberdeen,9.621866564,Low,-32.47656898,24.06585589,747,220.0839444,30,21,15,1,2200,AridZone,Cambisols,Adelaide,Azonal
Adelaide,4.922985668,High,-32.70464513,26.29759863,583,422.3272941,28,23,15,5,1800,SemiAridZone,Regosols,Adelaide,Grassland
Adendorp,11.83609548,Low,-32.30254088,24.54628844,711,326.1106,30,21,15,5,2000,AridZone,Cambisols,Adelaide,Azonal
Alicedale,0,Low,-33.31629966,26.08263769,280,446.0152414,26,23,15,7,1600,SemiAridZone,Leptosols,Witteberg,Albany
Aliwal_North,0,High,-30.691874,26.711578,1325,506.5355313,28,21,13.5,-1,1800,SemiAridZone,Luvisols,Tarkastad,Azonal
Ashton,0,Low,-33.83369603,20.05571101,190,312.1953077,28,21,15,5,1800,AridZone,Luvisols,Uitenhage,Fynbos
Barkly_West,0,Medium,-28.5336792,24.51927366,1104,354.076,32,23,17.5,1,2200,SemiAridZone,Cambisols,Ventersdor,Savanna
Barrydale,0,High,-33.905,20.7236111,366,283.6356216,26,19,15,5,1600,SemiAridZone,Leptosols,Bokkeveld,Fynbos
Beaufort_West,1.700197155,High,-32.36293333,22.59113067,848,286.766,30,21,15,3,2200,AridZone,Cambisols,Adelaide,Azonal
Bedford,3.804107534,Low,-32.686224,26.11224325,738,486,26,23,15,5,1800,SemiAridZone,Regosols,Adelaide,Grassland
Bethulie,1.56345808,Low,-30.497656,25.971791,1282,467.6931148,28,21,13.5,1,1800,SemiAridZone,Luvisols,Adelaide,Grassland
Bloemfontein,2.282727574,High,-29.088905,26.24184231,1403,566.6377143,28,21,13.5,-1,2000,SemiAridZone,_Phaeozems,Adelaide,Grassland
Brandfort,0,High,-28.696242,26.464829,1413,524.3591875,28,21,15,-1,2000,SemiAridZone,_Phaeozems,Adelaide,Grassland
Brandvlei,0,Low,-30.4633333,20.4861111,918,132,30,23,15,1,2600,AridZone,Cambisols,Ecca,Nama-Karoo
