Registration,Duration,Ignition,DateTime,Lat,Lon,Odometer,Date,Time,StartStop
JJB627EC,00:31:11,Ignition On,2023/08/01 07:25,-31.606916,25.013687,135427.7,2023/08/01,7:25:44 am,Start
JJB627EC,00:31:11, ,2023/08/01 07:25,-31.606852,25.013687,135427.7,2023/08/01,7:25:59 am,
JJB627EC,00:31:11, ,2023/08/01 07:26,-31.606852,25.013687,135427.7,2023/08/01,7:26:28 am,
JJB627EC,00:31:11, ,2023/08/01 07:26,-31.606852,25.013687,135427.7,2023/08/01,7:26:58 am,
JJB627EC,00:31:11, ,2023/08/01 07:27,-31.606852,25.013687,135427.7,2023/08/01,7:27:28 am,
JJB627EC,00:31:11, ,2023/08/01 07:27,-31.606852,25.013687,135427.7,2023/08/01,7:27:58 am,
JJB627EC,00:31:11, ,2023/08/01 07:28,-31.606852,25.013687,135427.7,2023/08/01,7:28:28 am,
JJB627EC,00:31:11, ,2023/08/01 07:28,-31.606937,25.013605,135427.7,2023/08/01,7:28:54 am,
JJB627EC,00:31:11, ,2023/08/01 07:29,-31.607006,25.013582,135427.7,2023/08/01,7:29:00 am,
JJB627EC,00:31:11, ,2023/08/01 07:29,-31.607031,25.013586,135427.7,2023/08/01,7:29:02 am,
JJB627EC,00:31:11,,2023/08/01 07:29,-31.607031,25.013586,135427.7,2023/08/01,7:29:03 am,
JJB627EC,00:31:11, ,2023/08/01 07:29,-31.607035,25.013565,135427.7,2023/08/01,7:29:07 am,
JJB627EC,00:31:11, ,2023/08/01 07:29,-31.606974,25.013256,135427.8,2023/08/01,7:29:17 am,
JJB627EC,00:31:11, ,2023/08/01 07:29,-31.606941,25.013023,135427.8,2023/08/01,7:29:21 am,
JJB627EC,00:31:11, ,2023/08/01 07:29,-31.606962,25.012756,135427.8,2023/08/01,7:29:25 am,
JJB627EC,00:31:11, ,2023/08/01 07:29,-31.607042,25.012075,135427.9,2023/08/01,7:29:35 am,
JJB627EC,00:31:11, ,2023/08/01 07:29,-31.606966,25.011457,135427.9,2023/08/01,7:29:44 am,
JJB627EC,00:31:11, ,2023/08/01 07:29,-31.606892,25.011223,135427.9,2023/08/01,7:29:48 am,
JJB627EC,00:31:11, ,2023/08/01 07:29,-31.606306,25.010265,135428.1,2023/08/01,7:29:59 am,
JJB627EC,00:31:11, ,2023/08/01 07:30,-31.60428,25.007296,135428.4,2023/08/01,7:30:29 am,
JJB627EC,00:31:11, ,2023/08/01 07:30,-31.604242,25.007185,135428.4,2023/08/01,7:30:30 am,
JJB627EC,00:31:11, ,2023/08/01 07:30,-31.603788,25.004959,135428.6,2023/08/01,7:30:49 am,
JJB627EC,00:31:11, ,2023/08/01 07:31,-31.603142,25.001516,135428.9,2023/08/01,7:31:19 am,
JJB627EC,00:31:11, ,2023/08/01 07:31,-31.60253,24.998285,135429.2,2023/08/01,7:31:49 am,
JJB627EC,00:31:11, ,2023/08/01 07:32,-31.601843,24.995232,135429.5,2023/08/01,7:32:19 am,
JJB627EC,00:31:11, ,2023/08/01 07:32,-31.60125,24.992451,135429.8,2023/08/01,7:32:49 am,
JJB627EC,00:31:11, ,2023/08/01 07:33,-31.601185,24.991699,135429.8,2023/08/01,7:33:08 am,
JJB627EC,00:31:11, ,2023/08/01 07:33,-31.601154,24.991653,135429.9,2023/08/01,7:33:10 am,
JJB627EC,00:31:11, ,2023/08/01 07:33,-31.601128,24.991638,135429.9,2023/08/01,7:33:11 am,
