Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1973,2.8,89.9,83.9,24.1,26.2,0.1,29.7,6.8,0.5,13.8,12.3,37.7
1974,96.3,157.2,252,32.1,39.4,10.8,0,85.7,0.1,2.5,66,22
1975,24.6,120.1,78.4,8.4,3.2,14.6,6.7,0.1,7.2,0.1,43.3,115.7
1976,101.1,89.4,130.4,45.4,7.7,6.4,33.9,1.6,28.8,64.5,22.4,14.3
1977,40.4,108.9,36.2,23.5,63.3,1.2,0.2,13.7,17.3,24.4,73.6,54.5
1978,38.3,23.8,57.2,9.4,0.5,5.3,6,9.5,10,6.3,2.9,72.4
1979,72.9,59,14.9,17,36.3,3,50.3,12.7,4.4,41.2,70.3,8.5
1980,29,17.3,43,2.2,0.3,1.1,3,25.1,17.3,0.3,23.6,45.6
1981,89.8,122.9,64.5,29.7,27.2,15.3,2.5,88.8,0.1,39.7,27.7,57.8
1982,3,20.6,62.8,54.5,0,10,41.2,2.6,6.1,43.3,39.8,2.8
1983,15,14,76.4,43.9,9.4,16,20.3,0,9.8,12.5,64,99.6
1984,14.1,2.8,17.5,23.6,28,4.1,0,39.3,1.1,45.5,46.3,2.5
1985,67,95,5.2,8.6,0.2,17,0,0,0.1,95.5,71.4,108.3
1986,99.5,48.3,45.6,18.4,0,9.1,0.9,33.4,11.7,70.8,35.6,5.4
1987,1.2,51.1,38.2,9.2,7.5,35.6,17.9,1.2,84.7,8,88.7,5
1988,11.8,116.4,90,45.6,4.7,18.1,10.3,0,42.6,13.7,10.7,129.3
1989,131.1,90.8,55.8,68.4,17.1,5.6,1.3,5.4,8,30.2,94.9,42
1990,37.8,17.8,64.9,16.2,1.9,24.1,0.8,12.2,0.3,1.4,14.9,42.4
1991,57.2,141.8,51.3,2.2,11.3,32.8,0.3,0,14.5,138.5,33,86.7
1992,2.2,47.6,60,3.2,0.3,20.2,3,15.5,0.9,29.4,32.9,0.1
1993,13.9,17.6,25,23.6,6.3,8.3,8.6,2.2,2.2,37.1,73.5,118.6
1994,122,95.7,47.4,9.4,0,4.4,13.6,1.4,1.2,10.3,8.9,9.1
1995,16.1,47.5,39.3,14.9,30.6,0.9,0,3.5,24.8,9.3,55.4,123.3
1996,127.6,106.5,37.7,12.2,0,1.6,13.9,16.3,6.7,13.9,111.4,46.5
1997,191.9,61,59.7,36.3,50.4,9.8,5,0,0.1,4.6,4.6,28.2
1998,19.5,40.6,143.1,24.1,6.8,0,1.4,5.5,5.1,12.7,68,24.4
1999,32.1,16.6,31.9,4.6,58.3,0,9.6,0,3.8,15,12.5,74.4
2000,94.3,101.2,133.3,17.6,0,5.3,8.4,0.6,51.1,0,37.7,21
2001,39.7,19.09,82.5,87.2,5.6,6.4,0,5.7,58.9,12.6,69.7,79.8
2002,89.6,0.7,77.7,9,12.2,15,2.6,37,8.2,7.2,9.7,77.5
2003,7.4,128,24.8,29.8,47.4,0,0,11.1,1.2,48,27.7,7.8
2004,78.2,53.6,31.4,53,0.2,13.8,7.8,2.8,70.2,11.6,12,75.8
2005,100.4,103,27.2,18,17.6,12.4,0,9.8,9.6,54.6,39.2,2.8
2006,114.6,101.6,19.2,10,6.8,5,25.2,59.8,2,33.4,4.2,36.6
2007,8,35,63.4,62.4,2.2,36.4,3.8,0.8,13.4,73,57,138.8
2008,118.6,71.6,81.8,23.6,11.4,11.8,0.6,12.6,0.8,3.8,49.4,29.4
2009,19.9,214.5,34.7,25.3,119.9,21,11.3,34.1,0,57.2,21.7,21.5
2010,140.9,58.7,125.1,54.7,0,0,0,0,30.2,0,46.8,59.1
2011,184.5,149.2,117,32.3,66.4,41.7,27,0,0,30.2,6.3,93
2012,98.1,99,67.6,63.4,8.8,52.1,33.1,0,2.6,68.8,7.1,152.2
2013,35.8,12.8,52.6,75.7,2.5,2,18,6.3,0.8,43,50.2,70.7
2014,74.4,92.7,32.4,25.9,34.5,0.4,0,25.9,9.9,26,76.1,34.4
2015,52.2,16.2,72.7,38.7,0,24.5,38.9,12,21.4,12,1.8,18.5
2016,102,58.8,35.5,24.7,70.6,2.5,9.5,13.5,0,3.2,5.2,44.3
2017,118.8,178.2,49.9,0,34.1,4.5,0,0,0,21.5,20.7,27.4
2018,139.3,91.4,27.4,82.9,21.8,0,4.2,0,27.1,9.5,1.1,6.7
2019,36.7,149,52.1,27.7,23.5,0,2.6,0,2.1,1,0.9,53.1
2020,112.5,136.2,88,0,0,0,0,0,43.2,7.1,19,32.7
2021,182.2,6.4,30.4,30.6,5.9,0,0,14,2,21.1,55.9,157.8
2022,104.4,80.4,112.1,40.4,71.9,21,4.7,7.4,32.2,30.3,66.6,107.7
