Town,%Abun,Latitude,Longitude,Altitude,Rainfall,MaxSummer,MaxWinter,MinSummer,MinWinter,EvapValue
Aberdeen,13.95348837,-32.47656898,24.06585589,747,220.0839444,30,21,15,1,2200
Adelaide,1.210653753,-32.70464513,26.29759863,583,422.3272941,28,23,15,5,1800
Adendorp,57.67716535,-32.30254088,24.54628844,711,326.1106,30,21,15,5,2000
Alicedale,0,-33.31629966,26.08263769,280,446.0152414,26,23,15,7,1600
Aliwal North,0,-30.691874,26.711578,1325,506.5355313,28,21,13.5,-1,1800
Ashton,0,-33.83369603,20.05571101,190,312.1953077,28,21,15,5,1800
Barkly West,0,-28.5336792,24.51927366,1104,354.076,32,23,17.5,1,2200
Barrydale,0,-33.905,20.7236111,366,283.6356216,26,19,15,5,1600
Beaufort West,0.307692308,-32.36293333,22.59113067,848,286.766,30,21,15,3,2200
Bedford,0.735294118,-32.686224,26.11224325,738,486,26,23,15,5,1800
Bethulie,0.29154519,-30.497656,25.971791,1282,467.6931148,28,21,13.5,1,1800
Bloemfontein,0.388500389,-29.088905,26.24184231,1403,566.6377143,28,21,13.5,-1,2000
Brandfort,0,-28.696242,26.464829,1413,524.3591875,28,21,15,-1,2000
Brandvlei,0,-30.4633333,20.4861111,918,132,30,23,15,1,2600
Britstown,0,-30.584959,23.504928,1126,297.1461333,30,21,15,1,2200
Buffelsjagsrivier,0,-34.03942103,20.5411542,71,679.8384706,28,21,15,7,1600
Burgersdorp,2.574257426,-31.00710048,26.32371606,1390,522,28,19,13.5,-1,1800
Calitzdorp,0,-33.53109708,21.68805007,246,214.4050286,28,23,15,5,1800
Calvinia,0,-31.4694444,19.7772222,986,227.1736923,28,19,13.5,3,2200
Carnarvon,1.691331924,-30.96778106,22.13318594,1251,233.3721212,28,19,13.5,1,2600
Colesberg,0.716845878,-30.7175065,25.0932665,1391,390.8142778,28,19,13.5,1,1800
Cookhouse,18.47133758,-32.7461103,25.80406503,585,441.6278462,28,23,15,5,1800
Cradock,0.160771704,-32.170617,25.61425,908,322.3837273,30,21,15,3,2000
Danielskuil,0,-28.1800707,23.55492946,1466,405.5696154,30,21,15,1,2200
De Aar,0.630914826,-30.65546415,24.00726338,1248,312.4858519,28,19,13.5,1,2200
De Hoop,0,-33.6058576,22.0388759,270,301.8860556,28,21,15,5,1800
De Rust,0.840336134,-33.488094,22.53409,472,318.2825946,26,21,15,5,1600
Dealesville,0,-28.67465111,25.76622106,1256,471.9442903,30,23,15,-1,2000
Dewetsdorp,0.294985251,-29.581859,26.6700485,1534,590.931,26,19,13.5,-1,1800
Dordrecht,0,-31.36389258,27.05253104,1614,600.84208,23,17,11.5,-1,1600
Dysselsdorp,0,-33.5736111,22.4333333,369,253.5881081,26,21,15,5,1800
Edenburg,3.571428571,-29.73585944,25.937238,1366,485.2400606,28,21,13.5,-1,2000
Excelsior,0,-28.93643198,27.061802,1468,579.0401714,28,21,13.5,-1,1800
Fauresmith,0.460829493,-29.746867,25.311032,1360,489.2632667,28,19,15,1,2000
Fort Beaufort,0,-32.7766075,26.6333138,441,519.7183243,28,23,15,5,1600
Fraserburg,0,-31.9061111,21.5119444,1258,241.2274286,28,19,13.5,-1,2600
Gariepdam,0.659340659,-30.5936372,25.490691,1291,406.7095625,28,19,13.5,1,1800
George,0,-33.96852214,22.45002113,204,895.5356154,23,19,15,7,1200
Graaff Reinet,8.395677473,-32.25567957,24.5453341,767,326.1106,28,21,15,5,2000
Grahamstown,0,-33.303792,26.522941,526,720.7211515,26,21,15,7,1400
Griquastad,0,-28.84910199,23.25469325,1309,320.4244324,30,21,15,1,2200
Groblershoop,0,-28.89613805,21.98383042,868,189.7036757,32,23,17.5,1,2600
